loading,condition,corr_ef,period_sd_ms
baseline,stim,-0.805,0.00
baseline,natural,-0.805,0.00
toe,stim,-0.853,83.56
toe,natural,-0.459,144.31
air,stim,-0.918,0.00
air,natural,-0.076,168.33
