ia_gain_tag,ia_gain_val,lambda_tag,lambda_val,measured_period_ms,period_std_ms,peak_force_e,peak_force_f,corr_ef
baseline,1.0,lam1em5,1e-05,519.60,49.32,16.682,16.823,-0.952
baseline,1.0,lam1em4,0.0001,519.60,0.00,16.720,16.938,-0.853
baseline,1.0,lam1em3,0.001,519.60,0.00,16.720,16.860,-0.897
toe,0.5,lam1em5,1e-05,492.95,90.20,13.229,17.415,-0.418
toe,0.5,lam1em4,0.0001,519.60,0.00,16.723,17.417,-0.646
toe,0.5,lam1em3,0.001,519.60,0.00,16.731,17.241,-0.769
air,0.1,lam1em5,1e-05,230.25,97.21,10.031,17.470,-0.289
air,0.1,lam1em4,0.0001,438.90,124.40,15.601,17.470,-0.219
air,0.1,lam1em3,0.001,436.94,130.49,16.956,17.464,-0.524
