speed,lambda,commanded_period_ms,measured_period_ms,period_std_ms,peak_force_e,peak_force_f,corr_ef,spec_conc
06cms,lam1em5,1200,1200.00,0.00,17.459,17.459,-0.991,0.8644
06cms,lam1em4,1200,1200.00,0.00,17.459,17.462,-0.822,0.8611
06cms,lam1em3,1200,1200.00,0.00,17.459,17.459,-0.965,0.8657
13_5cms,lam1em5,520,519.60,45.02,16.616,16.843,-0.934,0.8741
13_5cms,lam1em4,520,519.60,0.00,16.720,16.986,-0.812,0.8900
13_5cms,lam1em3,520,519.60,0.00,16.719,16.937,-0.879,0.8908
21cms,lam1em5,350,321.20,69.51,12.687,15.929,-0.823,0.8525
21cms,lam1em4,350,350.40,0.00,15.461,16.085,-0.877,0.9444
21cms,lam1em3,350,350.40,0.00,15.489,15.435,-0.947,0.9356
