ia_gain_tag,ia_gain_val,lambda_tag,lambda_val,measured_period_ms,period_std_ms,peak_force_e,peak_force_f,corr_ef
baseline,1.0,lam1em5,1e-05,519.60,0.00,16.725,16.710,-0.986
baseline,1.0,lam1em4,0.0001,519.60,0.00,16.759,17.230,-0.776
baseline,1.0,lam1em3,0.001,519.60,0.00,16.728,17.006,-0.805
toe,0.5,lam1em5,1e-05,503.65,73.95,16.905,17.068,-0.766
toe,0.5,lam1em4,0.0001,411.35,139.75,17.205,17.470,-0.199
toe,0.5,lam1em3,0.001,372.54,144.31,17.090,17.451,-0.459
air,0.1,lam1em5,1e-05,271.83,96.07,12.572,17.470,-0.085
air,0.1,lam1em4,0.0001,387.15,133.23,17.415,17.470,0.033
air,0.1,lam1em3,0.001,510.48,168.33,17.466,17.470,-0.076
